dataset,test,test,test,test,test,test,test,train,train,train,train,train,train,train
39,0.8327165062916358,0.8697261287934863,0.8652849740932642,0.8830495928941525,0.8837897853441895,0.8904515173945226,0.9104367135455218,0.8245743893412287,0.8751542067604243,0.929434986429805,0.9849494201825808,1.0,1.0,1.0
41,0.8186528497409327,0.8689859363434493,0.8734270910436713,0.8830495928941525,0.8852701702442635,0.9030347890451518,0.9089563286454478,0.8233407352578337,0.8763878608438194,0.9363434492968171,0.9906242289661978,1.0,1.0,1.0
43,0.8208734270910437,0.8689859363434493,0.8697261287934863,0.8830495928941525,0.8860103626943006,0.8963730569948186,0.9067357512953368,0.8235874660745127,0.8788551690106094,0.9420182580804343,0.9916111522329139,1.0,1.0,1.0
45,0.8312361213915618,0.8652849740932642,0.8689859363434493,0.8808290155440415,0.8911917098445595,0.8941524796447077,0.9074759437453738,0.8235874660745127,0.8810757463607205,0.9437453737971873,0.993338267949667,1.0,1.0,1.0
47,0.8312361213915618,0.8645447816432272,0.8697261287934863,0.8800888230940045,0.8919319022945966,0.9008142116950407,0.9156180606957809,0.8235874660745127,0.8815692079940785,0.9462126819639773,0.995312114483099,1.0,1.0,1.0
49,0.8253145817912657,0.8682457438934122,0.8719467061435974,0.8845299777942265,0.8889711324944486,0.9015544041450777,0.9059955588452998,0.8260547742413027,0.8825561312607945,0.9486799901307673,0.9965457685664939,1.0,1.0,1.0
51,0.8327165062916358,0.8660251665433013,0.8704663212435233,0.8897113249444856,0.8911917098445595,0.9000740192450037,0.9126572908956329,0.8287688132247718,0.8874907475943745,0.9523809523809523,0.997039230199852,1.0,1.0,1.0
53,0.8349370836417469,0.8608438193930422,0.8734270910436713,0.8860103626943006,0.8911917098445595,0.8926720947446336,0.9082161361954109,0.8292622748581298,0.8884776708610905,0.9543547989143845,0.998026153466568,1.0,1.0,1.0
55,0.8349370836417469,0.8660251665433013,0.8726868985936344,0.8852701702442635,0.8867505551443375,0.9022945965951147,0.9141376757957069,0.8295090056748088,0.8887244016777696,0.9570688378978535,0.9985196150999259,1.0,1.0,1.0
57,0.8290155440414507,0.8675055514433753,0.8756476683937824,0.8889711324944486,0.8904515173945226,0.9045151739452257,0.9141376757957069,0.8297557364914878,0.8899580557611646,0.9590426844312855,0.999013076733284,1.0,1.0,1.0
59,0.8319763138415989,0.8719467061435974,0.8734270910436713,0.8889711324944486,0.8904515173945226,0.9082161361954109,0.9141376757957069,0.8307426597582038,0.8909449790278806,0.9627436466814705,0.9995065383666419,1.0,1.0,1.0
61,0.8319763138415989,0.8712065136935603,0.8726868985936344,0.8889711324944486,0.8926720947446336,0.9030347890451518,0.9074759437453738,0.8314828522082408,0.8948926720947447,0.9627436466814705,1.0,1.0,1.0,1.0
63,0.8319763138415989,0.8689859363434493,0.8719467061435974,0.8904515173945226,0.8956328645447816,0.9015544041450777,0.9141376757957069,0.8309893905748829,0.8956328645447816,0.9629903774981495,1.0,1.0,1.0,1.0
